dept_name,wk_date,sales,ctype
Dairy,2012-04-06,2171153.2500000005,actuals
Beauty,2012-04-13,1287435.07,actuals
Beverages,2012-04-13,3418386.5499999993,actuals
Bedding,2012-04-13,2055286.5399999989,actuals
Accessories,2012-04-13,1878746.160000001,actuals
Dairy,2012-04-13,2008446.4100000006,actuals
Appliances,2012-04-13,2898806.6999999983,actuals
Dinner Foods,2012-04-13,1506578.86,actuals
Cereal,2012-04-13,1705745.329999999,actuals
Cereal,2010-02-05,3372690.5499999993,actuals
Beauty,2010-02-05,1522916.7699999993,actuals
Accessories,2010-02-05,1997831.8900000006,actuals
Canned Foods,2010-02-05,3170529.930000003,actuals
Dairy,2010-02-05,2238389.819999999,actuals
Cleaning Supplies,2010-02-05,1527438.1699999988,actuals
Beverages,2010-02-05,3781162.8699999996,actuals
Appliances,2010-02-05,3022955.049999999,actuals
Cereal,2010-02-12,3102766.890000003,actuals
Canned Foods,2010-02-12,2976149.3099999977,actuals
Accessories,2010-02-12,1839217.77,actuals
Beauty,2010-02-12,1327494.6299999994,actuals
Dinner Foods,2010-02-12,1603013.1900000016,actuals
Appliances,2010-02-12,2686547.5200000005,actuals
Dairy,2010-02-12,2037203.2899999996,actuals
Accessories,2010-02-19,1961685.9299999997,actuals
Beauty,2010-02-19,1412757.9800000002,actuals
Cleaning Supplies,2010-02-19,1414318.210000001,actuals
Canned Foods,2010-02-19,2814037.7900000024,actuals
Dairy,2010-02-19,2163829.9499999993,actuals
Appliances,2010-02-19,2712708.649999999,actuals
Dinner Foods,2010-02-19,1546117.6700000013,actuals
Beverages,2010-02-26,3204210.0599999996,actuals
Cereal,2010-02-26,2571982.430000002,actuals
Bedding,2010-02-26,1935114.7300000011,actuals
Accessories,2010-02-26,1859531.5800000005,actuals
Beauty,2010-02-26,1382123.9800000002,actuals
Appliances,2010-02-26,2757264.389999998,actuals
Canned Foods,2010-02-26,2789412.1299999985,actuals
Dinner Foods,2010-02-26,1486244.1900000002,actuals
Dairy,2010-02-26,2084986.2900000003,actuals
Cereal,2010-03-05,2643457.8199999975,actuals
Beauty,2010-03-05,1488750.3299999991,actuals
Beverages,2010-03-05,3480725.209999999,actuals
Canned Foods,2010-03-05,2994339.240000001,actuals
Dairy,2010-03-05,2224907.260000001,actuals
Dinner Foods,2010-03-05,1607815.5699999994,actuals
Accessories,2010-03-05,1957870.8200000005,actuals
Cleaning Supplies,2010-03-05,1454252.0900000005,actuals
Beverages,2010-03-12,3345276.5599999977,actuals
Bedding,2010-03-12,1973978.4399999985,actuals
Appliances,2010-03-12,2929479.0800000005,actuals
Beauty,2010-03-12,1404792.9799999997,actuals
Cereal,2010-03-12,2268713.390000001,actuals
Accessories,2010-03-12,1908498.1699999988,actuals
Canned Foods,2010-03-12,2992259.2600000002,actuals
Dairy,2010-03-12,2111864.879999999,actuals
Dinner Foods,2010-03-12,1576412.539999999,actuals
Cleaning Supplies,2010-03-12,1379196.6899999988,actuals
Bedding,2010-03-19,1900357.1199999992,actuals
Beverages,2010-03-19,3102759.530000002,actuals
Accessories,2010-03-19,1848039.7800000003,actuals
Appliances,2010-03-19,2630196.76,actuals
Cleaning Supplies,2010-03-19,1338430.6799999992,actuals
Dairy,2010-03-19,2027010.7699999984,actuals
Cereal,2010-03-19,1976238.3699999987,actuals
Dinner Foods,2010-03-19,1487593.810000001,actuals
Canned Foods,2010-03-19,3003945.310000001,actuals
Accessories,2010-03-26,1826143.299999999,actuals
Cleaning Supplies,2010-03-26,1326997.8400000003,actuals
Beverages,2010-03-26,2976519.3900000025,actuals
Beauty,2010-03-26,1324087.250000001,actuals
Bedding,2010-03-26,1850435.670000001,actuals
Cereal,2010-03-26,1820919.129999999,actuals
Canned Foods,2010-03-26,2875842.5600000024,actuals
Dairy,2010-03-26,2017004.530000001,actuals
Dinner Foods,2010-03-26,1396431.7700000007,actuals
Cereal,2010-04-02,1886308.4500000002,actuals
Appliances,2010-04-02,2818801.6699999976,actuals
Bedding,2010-04-02,2049993.260000001,actuals
Beauty,2010-04-02,1417911.0200000003,actuals
Dinner Foods,2010-04-02,1493075.1099999999,actuals
Canned Foods,2010-04-02,3068370.1300000018,actuals
Dairy,2010-04-02,2066720.4999999993,actuals
Bedding,2010-04-09,1901908.419999999,actuals
Cleaning Supplies,2010-04-09,1314310.4200000006,actuals
Cereal,2010-04-09,1796455.2699999989,actuals
Appliances,2010-04-09,2820286.759999999,actuals
Beauty,2010-04-09,1362721.4299999992,actuals
Dinner Foods,2010-04-09,1487677.9999999995,actuals
Dairy,2010-04-09,2008998.0300000005,actuals
Canned Foods,2010-04-09,3040233.499999998,actuals
Accessories,2010-04-09,1903127.5900000017,actuals
Cleaning Supplies,2010-04-16,1346831.369999999,actuals
Beverages,2010-04-16,3129901.299999999,actuals
Appliances,2010-04-16,2751853.089999998,actuals
Beauty,2010-04-16,1440873.3499999996,actuals
Cereal,2010-04-16,1795511.12,actuals
Accessories,2010-04-16,1960979.1999999983,actuals
Canned Foods,2010-04-16,3257880.4899999984,actuals
Appliances,2010-04-23,2630925.100000002,actuals
Cereal,2010-04-23,1795865.8799999994,actuals
Bedding,2010-04-23,1829736.670000001,actuals
Canned Foods,2010-04-23,3154878.3599999994,actuals
Cleaning Supplies,2010-04-23,1355240.6899999988,actuals
Beverages,2010-04-23,3018434.740000002,actuals
Dairy,2010-04-23,2056127.5599999991,actuals
Dinner Foods,2010-04-23,1461212.8300000003,actuals
Accessories,2010-04-23,1949495.1800000006,actuals
Beauty,2010-04-23,1425313.6299999987,actuals
Appliances,2010-04-30,2771378.4800000014,actuals
Cleaning Supplies,2010-04-30,1347402.5299999993,actuals
Dinner Foods,2010-04-30,1390192.0400000003,actuals
Bedding,2010-04-30,1782057.9999999993,actuals
Canned Foods,2010-04-30,3078708.389999998,actuals
Beauty,2010-04-30,1378498.550000001,actuals
Accessories,2010-04-30,1888891.0400000005,actuals
Beverages,2010-05-07,3372265.709999999,actuals
Appliances,2010-05-07,2900280.5599999977,actuals
Dinner Foods,2010-05-07,1622771.4500000016,actuals
Dairy,2010-05-07,2046845.0599999994,actuals
Cereal,2010-05-07,1738629.3699999996,actuals
Bedding,2010-05-07,1973270.700000001,actuals
Cleaning Supplies,2010-05-07,1384003.5200000003,actuals
Beauty,2010-05-07,1444549.1299999992,actuals
Canned Foods,2010-05-07,3434331.01,actuals
Accessories,2010-05-07,1961636.980000001,actuals
Beverages,2010-05-14,3077689.6899999995,actuals
Dinner Foods,2010-05-14,1501562.1399999994,actuals
Dairy,2010-05-14,1939325.8999999987,actuals
Appliances,2010-05-14,2703150.5200000023,actuals
Cereal,2010-05-14,1779914.8799999994,actuals
Bedding,2010-05-14,1839843.4299999988,actuals
Canned Foods,2010-05-14,3172949.619999998,actuals
Accessories,2010-05-14,1859488.5199999989,actuals
Dairy,2010-05-21,1973683.1299999983,actuals
Cleaning Supplies,2010-05-21,1338354.6099999994,actuals
Dinner Foods,2010-05-21,1470985.4900000007,actuals
Bedding,2010-05-21,1831636.9999999995,actuals
Beverages,2010-05-21,3042953.100000002,actuals
Beauty,2010-05-21,1383652.3099999994,actuals
Dinner Foods,2010-05-28,1389439.1200000006,actuals
Cleaning Supplies,2010-05-28,1353399.1499999994,actuals
Beverages,2010-05-28,2975270.1400000025,actuals
Dairy,2010-05-28,2003211.9700000007,actuals
Canned Foods,2010-05-28,3525218.280000002,actuals
Bedding,2010-05-28,1834385.0099999986,actuals
Cereal,2010-05-28,1602818.5899999999,actuals
Accessories,2010-05-28,1979840.8,actuals
Beauty,2010-05-28,1392704.6399999987,actuals
Cleaning Supplies,2010-06-04,1367584.719999999,actuals
Dairy,2010-06-04,2021891.62,actuals
Canned Foods,2010-06-04,3657150.6999999974,actuals
Cereal,2010-06-04,1735485.2900000014,actuals
Beauty,2010-06-04,1484230.9699999995,actuals
Appliances,2010-06-04,2513111.540000002,actuals
Accessories,2010-06-04,2014908.2999999986,actuals
Cleaning Supplies,2010-06-11,1342078.730000001,actuals
Dinner Foods,2010-06-11,1627941.63,actuals
Beverages,2010-06-11,3274477.4599999995,actuals
Dairy,2010-06-11,1990656.5500000007,actuals
Cereal,2010-06-11,1719120.7399999988,actuals
Bedding,2010-06-11,1942452.8300000015,actuals
Appliances,2010-06-11,2659698.310000002,actuals
Accessories,2010-06-11,2017306.6200000015,actuals
Canned Foods,2010-06-18,3489470.140000003,actuals
Dairy,2010-06-18,1952819.68,actuals
Dinner Foods,2010-06-18,1556008.2899999998,actuals
Beverages,2010-06-18,3156757.1300000004,actuals
Cereal,2010-06-18,1896443.430000001,actuals
Bedding,2010-06-18,1909803.7699999998,actuals
Appliances,2010-06-18,2639517.549999999,actuals
Beauty,2010-06-18,1412281.680000001,actuals
Accessories,2010-06-18,2026116.5499999986,actuals
Cereal,2010-06-25,1813531.3200000017,actuals
Beverages,2010-06-25,2848190.9300000016,actuals
Appliances,2010-06-25,2592592.350000001,actuals
Cleaning Supplies,2010-06-25,1288956.8299999987,actuals
Dairy,2010-06-25,1912704.1599999988,actuals
Accessories,2010-06-25,1967652.4100000004,actuals
Beauty,2010-06-25,1354113.16,actuals
Canned Foods,2010-07-02,3691101.39,actuals
Bedding,2010-07-02,1949441.6600000008,actuals
Beverages,2010-07-02,3175442.7299999995,actuals
Dinner Foods,2010-07-02,1486411.989999999,actuals
Beauty,2010-07-02,1481459.3600000013,actuals
Dairy,2010-07-02,2033284.2700000005,actuals
Accessories,2010-07-02,2089116.7800000012,actuals
Canned Foods,2010-07-09,3552124.99,actuals
Dinner Foods,2010-07-09,1539664.489999999,actuals
Accessories,2010-07-09,2010639.2699999984,actuals
Beauty,2010-07-09,1417512.9100000008,actuals
Beverages,2010-07-09,3182434.800000001,actuals
Appliances,2010-07-09,2537129.3399999994,actuals
Cereal,2010-07-09,1706874.850000001,actuals
Cleaning Supplies,2010-07-16,1314125.9199999992,actuals
Canned Foods,2010-07-16,3334475.620000002,actuals
Dinner Foods,2010-07-16,1544845.6200000008,actuals
Accessories,2010-07-16,2075141.2400000007,actuals
Dairy,2010-07-16,1972843.77,actuals
Beauty,2010-07-16,1459710.3699999994,actuals
Appliances,2010-07-16,2638804.819999998,actuals
Dinner Foods,2010-07-30,1372450.900000001,actuals
Cleaning Supplies,2010-07-30,1322953.69,actuals
Canned Foods,2010-07-30,3166773.7399999993,actuals
Beverages,2010-07-30,2836367.5999999996,actuals
Beauty,2010-07-30,1402854.939999999,actuals
Cereal,2010-07-30,1948298.7400000007,actuals
Dinner Foods,2010-08-06,1607342.620000001,actuals
Cleaning Supplies,2010-08-06,1368327.6199999999,actuals
Dairy,2010-08-06,1974635.6500000018,actuals
Canned Foods,2010-08-06,3487806.029999997,actuals
Beverages,2010-04-09,3165111.0999999978,actuals
Appliances,2010-08-06,2754226.0700000008,actuals
Beauty,2010-08-06,1482528.68,actuals
Bedding,2010-08-06,1995126.9700000011,actuals
Accessories,2010-08-06,2120901.4699999997,actuals
Cereal,2010-08-06,1931718.0799999996,actuals
Beverages,2010-08-06,3357270.689999998,actuals
Dinner Foods,2010-08-13,1537173.4600000014,actuals
Appliances,2010-08-13,2584814.9199999995,actuals
Canned Foods,2010-08-13,3387101.2,actuals
Accessories,2010-08-13,2082299.8500000015,actuals
Cereal,2010-08-13,1884355.049999999,actuals
Cleaning Supplies,2010-08-20,1286773.739999999,actuals
Canned Foods,2010-08-20,3298196.129999998,actuals
Dinner Foods,2010-08-20,1472592.0199999998,actuals
Dairy,2010-08-20,1948963.6000000006,actuals
Cereal,2010-08-20,2152192.439999998,actuals
Accessories,2010-08-20,2150558.539999999,actuals
Dinner Foods,2010-08-27,1380271.4399999997,actuals
Appliances,2010-08-27,2565789.9799999995,actuals
Beverages,2010-08-27,2999713.4600000004,actuals
Beauty,2010-08-27,1499807.2300000011,actuals
Accessories,2010-08-27,2124944.950000001,actuals
Cereal,2010-08-27,2004339.739999999,actuals
Cleaning Supplies,2010-09-03,1365197.9399999997,actuals
Bedding,2010-09-03,2000010.6799999997,actuals
Dinner Foods,2010-09-03,1509448.5099999986,actuals
Dairy,2010-09-03,2043436.530000001,actuals
Canned Foods,2010-09-03,3398281.8200000008,actuals
Appliances,2010-09-03,2761097.2800000017,actuals
Cereal,2010-09-03,2068354.8499999996,actuals
Beverages,2010-09-03,3294623.619999999,actuals
Beauty,2010-09-03,1578263.12,actuals
Cleaning Supplies,2010-09-10,1322099.7200000002,actuals
Dinner Foods,2010-09-10,1555012.9199999997,actuals
Canned Foods,2010-09-10,3252360.7300000014,actuals
Bedding,2010-09-10,2034849.0500000014,actuals
Cereal,2010-09-10,1950600.3900000013,actuals
Beverages,2010-09-10,3406660.549999999,actuals
Accessories,2010-09-10,1991188.8799999997,actuals
Appliances,2010-09-17,2670667.4799999995,actuals
Dinner Foods,2010-09-17,1497875.1900000002,actuals
Dairy,2010-09-17,1969406.550000002,actuals
Canned Foods,2010-09-17,3060038.480000003,actuals
Beverages,2010-09-17,3150518.9599999976,actuals
Accessories,2010-09-17,1895427.1499999997,actuals
Dinner Foods,2010-09-24,1385932.2099999997,actuals
Cleaning Supplies,2010-09-24,1292777.9500000007,actuals
Bedding,2010-09-24,1823956.0100000014,actuals
Appliances,2010-09-24,2629262.2500000005,actuals
Beauty,2010-09-24,1404852.3900000006,actuals
Dairy,2010-09-24,1952335.2800000007,actuals
Cereal,2010-09-24,1641309.6799999997,actuals
Dinner Foods,2010-10-01,1390115.430000001,actuals
Canned Foods,2010-10-01,2924164.350000001,actuals
Appliances,2010-10-01,2757997.3500000006,actuals
Dairy,2010-10-01,1963257.2699999986,actuals
Beauty,2010-10-01,1429491.62,actuals
Bedding,2010-10-08,1997690.7999999998,actuals
Cleaning Supplies,2010-10-08,1388995.9900000014,actuals
Appliances,2010-10-08,2736790.640000001,actuals
Accessories,2010-10-08,1922452.75,actuals
Canned Foods,2010-10-08,3107008.690000002,actuals
Beverages,2010-10-08,3451502.58,actuals
Cereal,2010-10-08,1677913.6199999996,actuals
Dinner Foods,2010-10-15,1502078.8,actuals
Cleaning Supplies,2010-10-15,1312057.3400000008,actuals
Beauty,2010-10-15,1373653.5399999998,actuals
Bedding,2010-10-22,1862982.580000001,actuals
Cleaning Supplies,2010-10-22,1340445.7600000005,actuals
Cereal,2010-10-22,1652782.8900000004,actuals
Dairy,2010-10-22,1967329.4999999984,actuals
Cleaning Supplies,2010-10-29,1338872.3300000008,actuals
Dinner Foods,2010-10-29,1327794.2899999993,actuals
Accessories,2010-10-29,1817791.939999999,actuals
Dairy,2010-10-29,1926810.1800000004,actuals
Canned Foods,2010-10-29,2811301.6999999997,actuals
Beauty,2010-10-29,1354273.92,actuals
Bedding,2010-11-05,1992591.9400000016,actuals
Cleaning Supplies,2010-11-05,1424399.2900000012,actuals
Accessories,2010-11-05,1870613.54,actuals
Dairy,2010-11-05,2043328.1200000013,actuals
Cereal,2010-11-05,1749651.9599999995,actuals
Canned Foods,2010-11-05,2852690.029999999,actuals
Beauty,2010-11-05,1444614.42,actuals
Bedding,2010-11-12,2027821.0399999989,actuals
Canned Foods,2010-11-12,2855275.6899999985,actuals
Dairy,2010-11-12,2000888.8199999994,actuals
Accessories,2010-11-12,1827782.3199999998,actuals
Canned Foods,2010-11-19,2766434.4599999995,actuals
Beverages,2010-11-19,3665570.089999998,actuals
Dairy,2010-11-19,1957489.6699999992,actuals
Beauty,2010-11-19,1348235.3000000003,actuals
Accessories,2010-11-19,1804648.0299999989,actuals
Cleaning Supplies,2010-11-19,1370829.7699999993,actuals
Cereal,2010-11-26,10533640.919999985,actuals
Appliances,2010-11-26,2156462.3600000003,actuals
Bedding,2010-11-26,2217952.6600000006,actuals
Canned Foods,2010-11-26,2807242.859999999,actuals
Dinner Foods,2010-11-26,1357937.4800000004,actuals
Beverages,2010-11-26,3982965.0800000005,actuals
Accessories,2010-11-26,1844296.9999999988,actuals
Cleaning Supplies,2010-11-26,1330334.5699999994,actuals
Appliances,2010-12-03,3006516.449999998,actuals
Cereal,2010-12-03,2931078.900000002,actuals
Cleaning Supplies,2010-12-03,1384436.100000001,actuals
Beauty,2010-12-03,1310774.8200000008,actuals
Dinner Foods,2010-12-03,1353289.1000000008,actuals
Accessories,2010-12-03,1853046.3799999992,actuals
Beverages,2010-12-10,3727640.36,actuals
Bedding,2010-12-10,2099628.1300000013,actuals
Appliances,2010-12-10,2800808.5600000015,actuals
Cereal,2010-12-10,2757243.349999998,actuals
Beauty,2010-12-10,1288758.5800000008,actuals
Dairy,2010-12-10,2038851.7600000012,actuals
Cleaning Supplies,2010-12-10,1448045.71,actuals
Cereal,2010-12-17,3892696.4000000027,actuals
Canned Foods,2010-12-17,2909748.1300000013,actuals
Dinner Foods,2010-12-17,1460340.9900000002,actuals
Beverages,2010-12-24,4203774.330000003,actuals
Cereal,2010-12-24,6020196.0299999975,actuals
Bedding,2010-12-24,2605302.4399999985,actuals
Beauty,2010-12-24,1313690.01,actuals
Dinner Foods,2010-12-24,1514601.6500000001,actuals
Accessories,2010-12-24,2657428.050000002,actuals
Cleaning Supplies,2010-12-24,1773763.6400000015,actuals
Appliances,2010-12-24,2482261.86,actuals
Beverages,2010-12-31,2624151.6200000015,actuals
Beauty,2010-12-31,1188854.3699999996,actuals
Bedding,2010-12-31,1743436.3500000003,actuals
Appliances,2010-12-31,2454954.8499999996,actuals
Canned Foods,2010-12-31,2484164.7800000003,actuals
Cleaning Supplies,2010-12-31,1186153.9100000006,actuals
Dinner Foods,2010-12-31,1215826.9600000004,actuals
Accessories,2010-12-31,1545570.4999999988,actuals
Beauty,2011-01-07,1398554.61,actuals
Beverages,2011-01-07,3536572.409999998,actuals
Bedding,2011-01-07,2042736.5099999986,actuals
Accessories,2011-01-07,1799906.2900000012,actuals
Appliances,2011-01-07,3219845.429999998,actuals
Dairy,2011-01-07,2147509.370000002,actuals
Cleaning Supplies,2011-01-07,1322007.8600000006,actuals
Dinner Foods,2011-01-07,1647214.2400000014,actuals
Beverages,2011-01-14,3443153.8800000018,actuals
Bedding,2011-01-14,2053458.9,actuals
Cereal,2011-01-14,1701575.819999999,actuals
Dinner Foods,2011-01-14,1618109.2500000014,actuals
Appliances,2011-01-14,2836653.3599999985,actuals
Cleaning Supplies,2011-01-14,1295871.1099999992,actuals
Accessories,2011-01-21,1773920.5699999987,actuals
Beauty,2011-01-21,1327652.95,actuals
Cereal,2011-01-21,1809924.0099999986,actuals
Beverages,2011-01-21,3271934.350000003,actuals
Canned Foods,2011-01-21,2864509.859999999,actuals
Dinner Foods,2011-01-21,1558120.3300000005,actuals
Dairy,2011-01-21,2034114.3999999983,actuals
Bedding,2011-01-28,1900881.460000001,actuals
Beverages,2011-01-28,3044345.8700000006,actuals
Cereal,2011-01-28,1967208.130000001,actuals
Accessories,2011-01-28,1682712.979999999,actuals
Beauty,2011-01-28,1230893.7699999996,actuals
Canned Foods,2011-01-28,2743236.2100000014,actuals
Appliances,2011-01-28,2742795.4699999983,actuals
Beverages,2011-02-04,3672861.959999997,actuals
Cereal,2011-02-04,2702467.389999999,actuals
Beauty,2011-02-04,1348149.5199999998,actuals
Accessories,2011-02-04,1853050.8799999983,actuals
Dairy,2011-02-04,2086969.4500000004,actuals
Appliances,2011-02-04,2799323.710000001,actuals
Bedding,2011-02-11,2077707.9100000013,actuals
Beverages,2011-02-11,3538141.6199999996,actuals
Canned Foods,2011-02-11,3079634.679999999,actuals
Cleaning Supplies,2011-02-11,1355507.0699999998,actuals
Accessories,2011-02-11,1904078.6199999999,actuals
Dinner Foods,2011-02-11,1678446.0400000012,actuals
Cleaning Supplies,2011-02-18,1369308.7499999993,actuals
Dinner Foods,2011-02-18,1546712.9399999997,actuals
Cereal,2011-02-18,2892310.1300000013,actuals
Beverages,2011-02-18,3258997.879999998,actuals
Beauty,2011-02-18,1396695.6799999995,actuals
